dir,start_time_utc,end_time_utc,bars,net_pts,span_pts,efficiency_%,mae_pts,start_close,end_close,start_time_london,end_time_london
UP,2025-01-02 11:35:00+00:00,2025-01-02 12:40:00+00:00,66,150.0,182.5,82.2,13.5,42834.1,42984.1,2025-01-02 11:35:00+00:00,2025-01-02 12:40:00+00:00
DOWN,2025-01-02 17:18:00+00:00,2025-01-02 18:43:00+00:00,86,-364.0,459.4,79.2,22.4,42674.2,42310.2,2025-01-02 17:18:00+00:00,2025-01-02 18:43:00+00:00
UP,2025-01-02 20:02:00+00:00,2025-01-02 20:34:00+00:00,33,108.4,195.0,55.6,29.0,42380.2,42488.6,2025-01-02 20:02:00+00:00,2025-01-02 20:34:00+00:00
UP,2025-01-03 14:06:00+00:00,2025-01-03 14:45:00+00:00,40,78.1,190.1,41.1,22.0,42587.3,42665.4,2025-01-03 14:06:00+00:00,2025-01-03 14:45:00+00:00
UP,2025-01-03 18:04:00+00:00,2025-01-03 19:49:00+00:00,106,105.4,152.6,69.1,11.6,42703.4,42808.8,2025-01-03 18:04:00+00:00,2025-01-03 19:49:00+00:00
UP,2025-01-06 11:05:00+00:00,2025-01-06 12:17:00+00:00,73,135.0,187.5,72.0,13.5,42779.1,42914.1,2025-01-06 11:05:00+00:00,2025-01-06 12:17:00+00:00
UP,2025-01-06 13:26:00+00:00,2025-01-06 14:14:00+00:00,49,72.0,86.0,83.7,6.0,42948.6,43020.6,2025-01-06 13:26:00+00:00,2025-01-06 14:14:00+00:00
UP,2025-01-06 14:45:00+00:00,2025-01-06 15:19:00+00:00,35,99.0,206.6,47.9,29.6,42927.2,43026.2,2025-01-06 14:45:00+00:00,2025-01-06 15:19:00+00:00
UP,2025-01-06 16:12:00+00:00,2025-01-06 17:05:00+00:00,54,118.0,170.6,69.2,17.6,43014.2,43132.2,2025-01-06 16:12:00+00:00,2025-01-06 17:05:00+00:00
DOWN,2025-01-06 17:17:00+00:00,2025-01-06 19:15:00+00:00,119,-274.2,364.2,75.3,12.0,43113.2,42839.0,2025-01-06 17:17:00+00:00,2025-01-06 19:15:00+00:00
DOWN,2025-01-06 19:19:00+00:00,2025-01-06 20:23:00+00:00,65,-106.0,179.6,59.0,20.0,42842.0,42736.0,2025-01-06 19:19:00+00:00,2025-01-06 20:23:00+00:00
UP,2025-01-07 13:28:00+00:00,2025-01-07 14:43:00+00:00,76,72.5,148.1,49.0,3.0,42837.9,42910.4,2025-01-07 13:28:00+00:00,2025-01-07 14:43:00+00:00
DOWN,2025-01-07 19:46:00+00:00,2025-01-07 20:39:00+00:00,54,-176.0,270.6,65.0,21.6,42680.2,42504.2,2025-01-07 19:46:00+00:00,2025-01-07 20:39:00+00:00
UP,2025-01-07 20:50:00+00:00,2025-01-08 11:27:00+00:00,34,115.5,207.4,55.7,34.4,42545.2,42660.7,2025-01-07 20:50:00+00:00,2025-01-08 11:27:00+00:00
DOWN,2025-01-08 14:29:00+00:00,2025-01-08 15:03:00+00:00,35,-127.4,233.9,54.5,21.5,42583.2,42455.8,2025-01-08 14:29:00+00:00,2025-01-08 15:03:00+00:00
DOWN,2025-01-08 17:02:00+00:00,2025-01-08 17:51:00+00:00,50,-149.0,218.0,68.3,32.4,42586.2,42437.2,2025-01-08 17:02:00+00:00,2025-01-08 17:51:00+00:00
UP,2025-01-08 17:56:00+00:00,2025-01-08 18:48:00+00:00,53,121.0,171.6,70.5,10.6,42469.2,42590.2,2025-01-08 17:56:00+00:00,2025-01-08 18:48:00+00:00
DOWN,2025-01-09 13:45:00+00:00,2025-01-09 14:24:00+00:00,40,-71.0,102.5,69.3,7.0,42648.6,42577.6,2025-01-09 13:45:00+00:00,2025-01-09 14:24:00+00:00
UP,2025-01-10 17:28:00+00:00,2025-01-10 19:02:00+00:00,95,209.0,283.0,73.9,33.0,41961.0,42170.0,2025-01-10 17:28:00+00:00,2025-01-10 19:02:00+00:00
DOWN,2025-01-10 20:08:00+00:00,2025-01-10 20:37:00+00:00,30,-88.4,162.0,54.6,12.0,42063.0,41974.6,2025-01-10 20:08:00+00:00,2025-01-10 20:37:00+00:00
DOWN,2025-01-10 20:53:00+00:00,2025-01-13 11:40:00+00:00,44,-134.5,217.5,61.8,15.0,41967.0,41832.5,2025-01-10 20:53:00+00:00,2025-01-13 11:40:00+00:00
DOWN,2025-01-14 15:57:00+00:00,2025-01-14 17:12:00+00:00,76,-233.2,325.4,71.7,18.6,42493.0,42259.8,2025-01-14 15:57:00+00:00,2025-01-14 17:12:00+00:00
UP,2025-01-14 17:41:00+00:00,2025-01-14 19:45:00+00:00,125,286.0,339.0,84.4,15.0,42272.8,42558.8,2025-01-14 17:41:00+00:00,2025-01-14 19:45:00+00:00
DOWN,2025-01-14 19:49:00+00:00,2025-01-14 20:23:00+00:00,35,-126.0,242.0,52.1,20.0,42546.8,42420.8,2025-01-14 19:49:00+00:00,2025-01-14 20:23:00+00:00
UP,2025-01-14 20:44:00+00:00,2025-01-15 12:21:00+00:00,94,301.9,375.9,80.3,19.0,42441.8,42743.7,2025-01-14 20:44:00+00:00,2025-01-15 12:21:00+00:00
UP,2025-01-15 13:20:00+00:00,2025-01-15 14:29:00+00:00,70,435.5,514.0,84.7,7.0,42762.7,43198.2,2025-01-15 13:20:00+00:00,2025-01-15 14:29:00+00:00
UP,2025-01-15 14:40:00+00:00,2025-01-15 15:28:00+00:00,49,77.0,146.6,52.5,21.6,43202.8,43279.8,2025-01-15 14:40:00+00:00,2025-01-15 15:28:00+00:00
DOWN,2025-01-15 20:49:00+00:00,2025-01-16 11:55:00+00:00,63,-126.0,190.1,66.3,7.6,43328.8,43202.8,2025-01-15 20:49:00+00:00,2025-01-16 11:55:00+00:00
UP,2025-01-16 14:00:00+00:00,2025-01-16 14:43:00+00:00,44,86.0,207.6,41.4,12.0,43133.8,43219.8,2025-01-16 14:00:00+00:00,2025-01-16 14:43:00+00:00
DOWN,2025-01-16 18:12:00+00:00,2025-01-16 19:10:00+00:00,59,-86.0,146.0,58.9,8.0,43255.8,43169.8,2025-01-16 18:12:00+00:00,2025-01-16 19:10:00+00:00
UP,2025-01-17 15:27:00+00:00,2025-01-17 16:55:00+00:00,89,118.0,167.0,70.7,22.0,43506.8,43624.8,2025-01-17 15:27:00+00:00,2025-01-17 16:55:00+00:00
DOWN,2025-01-20 15:14:00+00:00,2025-01-20 16:00:00+00:00,47,-101.4,188.6,53.8,13.6,43736.0,43634.6,2025-01-20 15:14:00+00:00,2025-01-20 16:00:00+00:00
UP,2025-01-21 15:25:00+00:00,2025-01-21 17:02:00+00:00,98,163.4,200.4,81.5,9.0,43768.4,43931.8,2025-01-21 15:25:00+00:00,2025-01-21 17:02:00+00:00
UP,2025-01-21 20:02:00+00:00,2025-01-22 11:38:00+00:00,93,139.0,175.4,79.2,5.4,43987.2,44126.2,2025-01-21 20:02:00+00:00,2025-01-22 11:38:00+00:00
UP,2025-01-23 14:30:00+00:00,2025-01-23 15:20:00+00:00,51,71.6,123.0,58.2,28.0,44222.2,44293.8,2025-01-23 14:30:00+00:00,2025-01-23 15:20:00+00:00
UP,2025-01-23 17:23:00+00:00,2025-01-23 18:34:00+00:00,72,94.6,136.6,69.3,14.0,44451.6,44546.2,2025-01-23 17:23:00+00:00,2025-01-23 18:34:00+00:00
UP,2025-01-27 12:28:00+00:00,2025-01-27 13:34:00+00:00,67,96.5,143.5,67.2,7.0,44030.4,44126.9,2025-01-27 12:28:00+00:00,2025-01-27 13:34:00+00:00
UP,2025-01-27 15:17:00+00:00,2025-01-27 15:56:00+00:00,40,97.4,173.0,56.3,7.0,44281.0,44378.4,2025-01-27 15:17:00+00:00,2025-01-27 15:56:00+00:00
UP,2025-01-27 16:55:00+00:00,2025-01-27 17:48:00+00:00,54,160.0,211.6,75.6,8.6,44388.0,44548.0,2025-01-27 16:55:00+00:00,2025-01-27 17:48:00+00:00
UP,2025-01-27 18:40:00+00:00,2025-01-27 19:47:00+00:00,68,154.0,240.0,64.2,23.0,44527.0,44681.0,2025-01-27 18:40:00+00:00,2025-01-27 19:47:00+00:00
UP,2025-01-28 14:09:00+00:00,2025-01-28 14:43:00+00:00,35,78.1,115.1,67.9,17.0,44706.9,44785.0,2025-01-28 14:09:00+00:00,2025-01-28 14:43:00+00:00
