start_5m,count
11:00,4
11:10,1
11:20,1
11:25,1
11:35,1
11:55,1
12:00,2
12:15,1
12:20,2
12:25,2
12:30,1
12:45,1
13:05,2
13:10,1
13:20,1
13:25,1
13:30,1
13:35,2
13:40,2
13:45,5
13:50,3
14:00,5
14:05,3
14:10,4
14:15,6
14:20,4
14:25,6
14:30,2
14:35,2
14:40,4
14:45,5
14:50,2
14:55,1
15:00,3
15:05,3
15:10,6
15:15,7
15:20,4
15:25,4
15:30,3
15:35,3
15:40,1
15:45,3
15:50,4
15:55,2
16:00,4
16:05,1
16:10,7
16:15,1
16:25,3
16:30,3
16:35,5
16:40,2
16:45,5
16:50,4
16:55,4
17:00,5
17:05,6
17:10,2
17:15,7
17:20,4
17:25,2
17:30,2
17:35,1
17:40,3
17:45,2
17:50,4
17:55,2
18:00,5
18:05,1
18:10,3
18:15,1
18:20,1
18:25,3
18:35,2
18:40,3
18:45,3
18:50,2
18:55,3
19:00,4
19:10,2
19:15,3
19:20,4
19:25,2
19:35,5
19:40,4
19:45,9
19:50,7
19:55,17
